Ticker,Drug Name,Indication,Approved or CRL,Catalyst Date,Catalyst Description
MLNT,Solithera - intravenous,Community-acquired bacterial pneumonia (CABP),   CRL,12/29/2016,"CRL announced December 29, 2016. Further trials required."
OPK,hGH-CTP,Adults - growth hormone deficiency,   Phase 3,12/30/2016,"Phase 3 data released December 30, 2016 - primary endpoint not met."
AGRX,Twirla,Contraceptive patch ,   Phase 3,01/03/2017,"CRL issued 2013. Phase 3 top-line data released January 3, 2017 - poor data but intends to reflile NDA 1H 2017."
PLX,AIR DNase (PRX-110),Cystic Fibrosis,   Phase 2,01/03/2017,"Phase 2 interim data released January 3, 2017."
AEZS,Macimorelin Acetate - Macrilen,Adult Growth Deficiency,   Phase 3,01/04/2017,"Phase 3 data released January 4, 2017 - trial failed."
HALO,HALO-301,Pancreatic cancer,   Phase 2,01/05/2017,Primary endpoint met.
GNCA,GEN-003,Genital herpes,   Phase 2b,01/05/2017,"Phase 2b data released January 5, 2017. "
OTIC,OTIPRIO,Acute otitis externa,   Phase 3,01/05/2017,"Phase 3 trial met primary endpoint - January 5, 2017."
CHRS,CHS-1420,Psoriasis,   Phase 3,01/10/2017,"Phase 3 top-line data met endpoints August 2016. Full data due released January 10, 2016. "
GSK,Rolapitant - intravenous (IV),"Prevention of chemotherapy induced nausea and vomiting, or CINV in HEC patients",   CRL,01/11/2017,CRL issued January 11 2017.
FGEN,Pamrevlumab (FG-3019),Pancreatic cancer,   Phase 2,01/17/2017,"Phase 2 abstract released January 17, 2017."
AGN,ESMYA  (ulipristal acetate),Uterine Fibroids,   Phase 3,01/18/2017,"Phase 3 data released January 18, 2017 - endpoints met. "
NBIX,INGREZZA,Tourette syndrome - adults,   Phase 2,01/18/2017,"Phase 2 data released January 18, 2017 did not meet primary endpoint."
AGN,Oxymetazoline HCl cream 1.0%,Facial Erythema (Redness) Associated with Rosacea,   Approved,01/19/2017,"Approved January 19, 2017."
ABBV,Imbruvica,Marginal zone lymphoma,   Approved,01/19/2017,"sNDA filing under priority review approved January 19, 2017."
MRNS,Ganaxolone - Marigold,CDKL5 Deficiency Disorder (CDD),   Phase 2,01/23/2017,"Phase 2 preliminary CDKL5 cohort data released January 23, 2017. "
LGND,Ganaxolone - Marigold,CDKL5 Deficiency Disorder (CDD),   Phase 2,01/23/2017,"Phase 2 preliminary CDKL5 cohort data released January 23, 2017. "
VRTX,VX-150,Osteoarthritis,   Phase 2,01/25/2017,"Phase 2 primary endpoint met - January 25, 2017."
IRWD,Linaclotide 72 mcg dose  for use in the treatment of adults,Chronic idiopathic constipation (CIC),   Approved,01/26/2017,"sNDA approval announced January 26, 2017."
AGN,Linaclotide 72 mcg dose  for use in the treatment of adults,Chronic idiopathic constipation (CIC),   Approved,01/26/2017,"sNDA approval announced January 26, 2017."
NOVN,SB204 ,Acne vulgaris,   Phase 3,01/27/2017,"Phase 3 top-line data released January 27, 2017. Met one of three co-primary endpoints in NI-AC301 trial. Met all endpoints in  NI-AC302 trial."
AGN,AVYCAZ (ceftazidime and avibactam),Complicated Urinary Tract Infections (cUTI),   Approved,01/30/2017,"sNDA approval announced January 30, 2017."
NRBO,Gemcabene - COBALT-1,Homozygous Familial Hypercholesterolemia (HoFH),   Phase 2b,01/30/2017,"Phase 2b interim data released January 30, 2017."
CATB,Edasalonexent (CAT-1004),Duchenne muscular dystrophy (DMD),   Phase 1/2,01/31/2017,Phase 1/2 top-line data released January 31 - primary endpoint not met.
TENX,Levosimendan,Reduce the incidence of low cardiac output syndrome during cardiac surgery,   Phase 3,01/31/2017,"Phase 3 top line data released January 31, 2017 - primary endpoints not met."
AMGN,Parsabiv,Secondary hyperparathyroidism (SHPT),   Approved,02/07/2017,"Approved February 7, 2017."
GWPH,Sativex,Spasticity due multiple sclerosis,   Phase 2,02/07/2017,"Phase 2 trial did not meet primary endpoint - noted February 7, 2017."
JNJ,XARELTO (rivaroxaban),Coronary Artery Disease or Peripheral Artery Disease,   Phase 3,02/08/2017,"Phase 3 trial stopped early due to positive efficacy - February 8, 2017."
ACOR,INBRIJA (CVT-301),OFF episodes of Parkinson’s disease (PD),   Phase 3,02/09/2017,"Phase 3 data released February 9, 2017 - primary endpoint met. "
TCON,TRC105 and Avastin,Glioblastoma - cancer,   Phase 2,02/09/2017,"Phase 2 data released February 9, 2017 - primary endpoint not met."
ZSAN,M207,Migraine,   Phase 3,02/13/2017,"Phase 3 trial data due released February 13, 2017 - primary endpoints met."
SAGE,SAGE-217 - MOUNTAIN,Major Depressive Disorder (MDD),   Phase 2,02/13/2017,"Phase 2 top-line data from open-label trial released February 13, 2017"
MRK,MK-8931 (017) - Verubecestat,Mild-to-moderate Alzheimer&#039;s,   Phase 3,02/14/2017,"Phase 3 trial stopped due to lack of efficacy - February 14, 2017."
ARDX,Tenapanor - PHREEDOM,Hyperphosphatemia in end-stage renal disease (ESRD) patients,   Phase 3,02/15/2017,"Phase 3 released February 15, 2017 - primary endpoint met. "
ALKS,ALKS 6428 ,Opioid dependence,   Phase 3,02/15/2017,Phase 3 trial did not meet endpoint - February 2017 (exact date unsure).
BHC,Brodalumab,Psoriasis,   Approved,02/15/2017,"Approved February 15, 2017."
AZN,Lynparza,Breast cancer,   Phase 3,02/17/2017,"Phase 3 data released February 17, 2016 - primary endpoint met."
MRK,Lynparza,Breast cancer,   Phase 3,02/17/2017,"Phase 3 data released February 17, 2016 - primary endpoint met."
TRVN,Oliceridine (TRV130),Moderate to severe acute pain,   Phase 3,02/21/2017,"Phase 3 APOLLO-1 and APOLLO-2 data released February 21, 2017 - primary endpoints met but commercial doubts raised."
CDTX,CD101 Topical - RADIANT,Vulvovaginal candidiasis (VVC),   Phase 2,02/21/2017,"Phase 2 data released February 21, 2017 - efficacy not evident, Development to be discontinued."
AMPH,Naloxone Intranasal,Opioid overdose ,   CRL,02/21/2017,"CRL announced February 21, 2017."
BMY,REVLIMID,Multiple myeloma (MM) - autologous stem cell transplant (ASCT),   Approved,02/22/2017,"Approved February 22, 2017."
CMRX,Brincidofovir - Advise trial,Adenovirus Infection,   Phase 3,02/22/2017,"Phase 3 interim analysis released May 2016. Final data released February 22, 2017."
MLNT,Taksta - Fusidic acid,Acute bacterial skin and skin structure infections (ABSSSI),   Phase 3,02/24/2017,"Phase 3 data released February 24, 2017 - endpoints met."
BCRX,BCX7353 - APeX-2,Reduce or eliminate attacks in HAE patients ,   Phase 2,02/27/2017,"Phase 2 interim data released February 27, 2017."
LJPC,GiaprezaTM (angiotensin II),Increase blood pressure in adults with septic or other distributive shock,   Phase 3,02/27/2017,"Phase 3 data released February 27, 2016 - primary endpoint hit. Secondary endpoints not mentioned. NDA filing due 2H 2017."
GILD,Yescarta (axicabtagene ciloleucel),Refractory Non-Hodgkin&#039;s Lymphoma (NHL) - cancer,   Phase 2,02/28/2017,"Phase 2 primary analysis released February 28, 2017 showed trial met primary endpoint. 31% CR for DLBCL."
LXRX,Telotristat etiprate (XERMELO),Carcinoid Syndrome,   Approved,02/28/2017,"Approved February 28, 2017."
AZN,Saxagliptin and dapagliflozin,Type-2 diabetes,   Approved,02/28/2017,"Approval announced February 28, 2017."
MLNT,Solithromycin,NASH,   Phase 2,02/28/2017,"Noted February 28, 2017 that development has been suspended due to lack of efficacy."
AUPH,Voclosporin - AURORA,Lupus,   Phase 2b,03/01/2017,"Phase 2b data released August 2016. Primary endpoint met but with high number of deaths. Further data released March 1, 2017 - no additional deaths and endpoints met."
MRK,Odactra (MK-8237),House dust mite allergies,   Approved,03/01/2017,"Approved March 1, 2017."
PTCT,Translarna,Nonsense mutation cystic fibrosis,   Phase 3,03/02/2017,"Phase 3 data released March 2, 2017 - endpoints not met. Development to be discontinued."
HALO,Perjeta + Herceptin (APHINITY),Adjuvant HER2+ breast cancer,   Phase 3,03/02/2017,"Note this trial is conducted by competitor Roche (RHHBY), NOT by Puma. The event was likely to have a significant impact on the share price of Puma (e.g. positive data would likely have a negative impact on Puma and vice versa). Data were released March 2, 2017 - primary endpoint was met."
RHHBY,Perjeta + Herceptin (APHINITY),Adjuvant HER2+ breast cancer,   Phase 3,03/02/2017,"Note this trial is conducted by competitor Roche (RHHBY), NOT by Puma. The event was likely to have a significant impact on the share price of Puma (e.g. positive data would likely have a negative impact on Puma and vice versa). Data were released March 2, 2017 - primary endpoint was met."
KPTI,Selinexor SOPRA,Cancer - Relapsed/Refractory Acute Myeloid Leukemia (AML),   Phase 2,03/02/2017,"Data Safety Monitoring Board (DSMB) noted March 2, 2017 that trial will not meet primary endpoint."
KURA,Tipifarnib - (AIM-HN/SEQ-HN),Head and neck squamous cell carcinomas (HNSCC),   Phase 2,03/06/2017,"Phase 2 ongoing data released March 6, 2017 - further data due 2H 2017."
IONS,Volanesorsen - APPROACH,Familial chylomicronemia syndrome (FCS),   Phase 3,03/06/2017,"Phase 3 data released March 6, 2017 - primary endpoint met. Relative safety concerns noted."
AKCA,Volanesorsen - APPROACH,Familial chylomicronemia syndrome (FCS),   Phase 3,03/06/2017,"Phase 3 data released March 6, 2017 - primary endpoint met. Relative safety concerns noted."
TGTX,TG-1101 and IMBRUVICA (GENUINE trial),Chronic Lymphocytic Leukemia (CLL) cancer,   Phase 3,03/06/2017,"Phase 3 trial met primary endpoint - March 6, 2017, meeting with FDA in 2H 2017."
ACOR,Ampyra,Improve walking in patients with multiple sclerosis,"width=""95"" height=""5"" viewBox=""1 1 95 5"" xmlns=""http://www.w3.org/2000/svg"">",03/09/2017,"Decision on Inter Partes Review (IPR) released March 10, 2017 - patents upheld."
NVS,LEE011,HR+/HER2- advanced breast cancer,   Approved,03/13/2017,"Priority review granted November 1, 2016. Approval announced March 13, 2017."
MRK,KEYTRUDA,Relapsed or Refractory Classical Hodgkin Lymphoma,   Approved,03/14/2017,"Approval announced March 14, 2017."
AZN,Lynparza - SOLO 2,Second-line ovarian cancer,   Phase 3,03/14/2017,"Data presented March 14, 2017 showed significant PFS benefit."
ENDP,OPANA ER,Management of pain,"width=""95"" height=""5"" viewBox=""1 1 95 5"" xmlns=""http://www.w3.org/2000/svg"">",03/14/2017,"Advisory Committee Meeting March 14, 2017 voted 18 to eight that the benefits of reformulated OPANA ER  no longer outweigh its risks."
CPRX,Firdapse,MuSK-antibody positive myasthenia gravis (MuSK-MG),   Phase 2,03/15/2017,"Phase 2 top-line data met endpoints - March 15, 2017. Pivotal trial planned."
AZN,Lokelma (ZS-9),Hyperkalaemia,   CRL,03/17/2017,"Second CRL issued March 17, 2017."
AMGN,Repatha,Cardiovascular disease,   Phase 3,03/17/2017,"Phase 3 cardiovascular outcomes study data released March 17, 2017 - endpoints met but down on expectations."
LLY,Abemaciclib - MONARCH 1 and 2,"Second-line hormone-receptor-positive (HR+), human epidermal growth factor receptor 2-negative (HER2-) breast cancer and HR+, HER2- breast cancer",   Phase 3,03/20/2017,"Phase 3 data released March 20, 2017 - PFS primary endpoint met."
JAZZ,JZP-110,Excessive sleepiness associated with obstructive sleep apnea,   Phase 3,03/20/2017,"Phase 3 data released March 20, 2017 - primary endpoints met."
AGN,JUVÉDERM VOLLURE,Correction of moderate to severe facial wrinkles and folds,   Approved,03/20/2017,"Approval announced March 20, 2017."
GNMX,NFC-1 - SAGA,mGluR mutation positive ADHD,   Phase 2/3,03/20/2017,"Phase 2/3 data released March 20, 2017 - primary endpoint not met."
NKTR,NKTR-181,Lower back pain,   Phase 3,03/20/2017,"Phase 3 data released March 20, 2017 - endpoints met."
BLRX,BL-8040 GENESIS,Stem-cell mobilization for autologous transplantation,   Phase 2,03/20/2017,"Phase 2 trial initiated March 2016. Partial data released March 20, 2017."
NVS,RELAX-AHF-2 (RLX030),Acute heart failure,   Phase 3,03/22/2017,"Phase 3 data released March 22, 2017 - primary endpoints not met."
PFE,Avelumab,Metastatic Merkel cell carcinoma,   Approved,03/23/2017,"Priority review announced November 29, 2016. Approval announced March 23, 2017."
XENE,XEN801,Acne,   Phase 2,03/24/2017,Phase 2 data released March 24 2017 - endpoints not met.
GSK,Niraparib - NOVA (Niraparib Ovarian) ,Cancer - ovarian,   Approved,03/27/2017,"PDUFA date under priority review was June 30, 2017. Approved March 27, 2017."
FOMX,FMX101,Acne,   Phase 3,03/27/2017,"Phase 3 data released March 27, 2017 - three of four primary endpoints met across two trials."
AUPH,Voclosporin - AURION trial,Lupus,   Phase 2,03/27/2017,"48-week data from open-label AURION study presented March 27, 2017 - primary endpoint met."
PRTK,Sarecycline,Severe acne vulgaris,   Phase 3,03/27/2017,Phase 3 data released March 27 2017 - primary endpoints met. NDA filing due 2H 2017.
AGN,Sarecycline,Severe acne vulgaris,   Phase 3,03/27/2017,Phase 3 data released March 27 2017 - primary endpoints met. NDA filing due 2H 2017.
VRTX,Tezacaftor / ivacaftor,Cystic fibrosis - Two Copies of the F508del Mutation,   Phase 3,03/28/2017,"Phase 3 data released March 28, 2017 - primary endpoint met. NDA filing due 3Q 2017."
RTTR,RP-G28,Lactose intolerance,   Phase 2/3,03/28/2017,"Phase 2/3 top-line data released March 28, 2017. Primary endpoint met. End of Phase 2 meeting with FDA planned."
REGN,Dupixent (dupilumab),Atopic dermatitis,   Approved,03/28/2017,"Approved under priority review - March 28, 2017."
SNY,Dupixent (dupilumab),Atopic dermatitis,   Approved,03/28/2017,"Approved under priority review - March 28, 2017."
CRBP,Anabasum (Resunab),Cystic Fibrosis,   Phase 2,03/30/2017,"Phase 2 data released March 30, 2017 - primary endpoint met but some concerns regarding efficacy."
PGNX,Azedra,Pheochromocytoma,   Phase 2b,03/30/2017,"Pivotal Phase 2 trial resumed January 2015 following suspension of trial in 2010 due to lack of funding. Primary endpoint met - March 30, 2017. NDA filing due mid-2017."
AZN,Tagrisso,Epidermal growth factor receptor (EGFR) T790M mutation-positive non-small cell lung cancer (NSCLC),   Approved,03/31/2017,"Approval announced March 31, 2017."
NVCR,Tumor Treating Fields (TTFields) - INNOVATE-3,Ovarian cancer,   Phase 2,03/31/2017,"Phase 2 data presented December 12, 2016. Further promising PFS data released March 31, 2017."
PFE,IBRANCE (palbociclib),"HR+, HER2- Metastatic Breast Cancer",   Approved,03/31/2017,"sNDA acceptance announced December 21, 2016. Approval announced March 31, 2017."
BMY,CM-143 – Opdivo ,Second-line Glioblastoma (GBM) cancer,   Phase 3,04/03/2017,"Phase 3 data released April 3, 2017 - primary endpoint not met."
BMY,CM - 067 Opdivo in combination with Yervoy,Melanoma,   Phase 3,04/03/2017,"Phase 3 first overall survival (OS) positive data released April 3, 2017"
PRTK,Omadacycline,Community-acquired bacterial pneumonia (CABP),   Phase 3,04/03/2017,"Phase 3 data released April 3, 2017 - all endpoints met."
NLNK,Indoximod in combination with KEYTRUDA or Opdivo - Indigo301,Melanoma - cancer,   Phase 2,04/04/2017,"Phase 2 interim analysis released at AACR meeting April 4, 2017."
KPTI,Selinexor - SADAL,Cancer - Diffuse Large B-Cell Lymphoma (DLBCL),   Phase 2b,04/04/2017,"Phase 2b additional interim data released April 4, 2017 at AACR. Final top-line data due mid-2018."
NKTR,Cipro DPI ,Bronchiectasis,   Phase 3,04/05/2017,"Phase 3 second trial did not meet endpoint - April 5, 2017."
SUPN,Trokendi ,Migraine,   Approved,04/05/2017,"Tentative approval August 19 2016, subject to the pediatric exclusivity which expires March 28, 2017. Final approval announced April 6, 2017."
AGN,Botox ,Depression,   Phase 2,04/05/2017,"Phase 2 top-line data released April 5, 2017 - primary endpoint missed. Phase 3 planned."
ONCE,SPK-9001,Hemophilia B,   Phase 1/2,04/06/2017,"Phase 1/2 updated data at ASH 2016. Further update released April 6, 2017."
MRK,Januvia (Sitagliptin),Type 2 Diabetes,   CRL,04/07/2017,CRL issued April 7 2017. sNDA for approved drug requested to include data on cardiovascular effects
GERN,Imetelstat - IMbarkStudy,Myelofibrosis,   Phase 2/3,04/10/2017,"Phase 2 clinical hold lifted Nov 2014. Phase 2 initiated September 2015. Internal review conducted September 2016. Low dose discontinued, high dose enrollment suspended. Further review conducted April 2017 - further development pending FDA feedback and longer term data."
MESO,MPC-150-IM - Class 2/3,Heart failure,   Phase 3,04/10/2017,"Noted April 10, 2017 that interim analysis has been completed - trial to continue as planned."
NBIX,INGREZZA,Tardive dyskinesia,   Approved,04/11/2017,"Approved April 11, 2017."
PLX,AIR DNase (PRX-110),Cystic Fibrosis,   Phase 2,04/12/2017,"Phase 2 interim data released January 3, 2017. Full data released April 12, 2017. Company noted data were positive but results showed efficacy down on January data."
NOVN,SB208,Fungal infections,   Phase 2,04/12/2017,"Phase 2 data released April 12, 2017. Primary endpoint met."
INCY,Baricitinib,Rheumatoid arthritis,   CRL,04/14/2017,"Announced January 19 2016 that NDA Filing had been submitted. Three month delay announced January 13, 2017. CRL received April 14, 2017."
LLY,Baricitinib,Rheumatoid arthritis,   CRL,04/14/2017,"Announced January 19 2016 that NDA Filing had been submitted. Three month delay announced January 13, 2017. CRL received April 14, 2017."
MTFB,Iclaprim -REVIVE-1,Acute bacterial skin and skin structure infections (ABSSSI),   Phase 3,04/18/2017,"Phase 3 data released April 18, 2017 - primary endpoint of non-inferiority met."
RARE,Crysvita (Burosumab),X-Linked Hypophosphatemia (XLH) ,   Phase 3,04/18/2017,"Phase 3 data released April 18, 2017 - primary endpoint met, two of three secondary endpoints met (missed on pain)."
ABBV,Veliparib,Squamous non-small cell lung cancer (NSCLC) and triple negative breast cancer (TNBC),   Phase 3,04/19/2017,"Phase 3 trial did not meet primary endpoints - April 19, 2017."
MRK,RENFLEXIS - SB2 (infliximab biosimilar),Biosimilar candidate of Remicade,   Approved,04/21/2017,"BLA acceptance announced May 23, 2016 by partner Samsung Bioepis. Approval annuonced April 21, 2017."
EIGR,Lonafarnib - D-LIVR,Chronic hepatitis delta virus (HDV),   Phase 2,04/21/2017,"Phase 2 end of trial data released April 21, 2017. Meeting with FDA scheduled for 4Q 2017."
